线路编号, 上行途径站点, 下行途径站点
M238,田寮总站、科利厂、桂发厂、高锋厂、联防队、将石市场、将石农商行、东坑、将石、国科大医院西院区①、光明高级中学、环球公司、公明办事处、公明中心换乘站、国科大医院西院区②、将石、将石农商行、将石市场、联防队、高锋厂、桂发厂、科利厂、将石路口、田寮工业区、田寮总站,None
M240,西乡大铲湾总站、金港大道②、沿江大铲湾口、金湾西乡大道路口、富通城三期、富通城二期、圣淘沙、西乡盐田大门、大益广场、宝安文具批发市场、西乡立交②、宝安中心医院①、西乡路口①、宝安交通运输局①、深南北环立交③、方鼎华庭、北环科苑天桥、海能达大厦、清华信息港、北环铜鼓天桥、大沙河公园、北环龙井天桥、高发科技园、北环桃源天桥、深云村、侨香村、北环香梅北天桥、深圳石油大厦、广中医深圳医院、北环中学、彩田村北、银湖汽车站①、泥岗村①、宝安北路口②、红岗花园、独树村③、草埔地铁站②、荣超花园④、草埔地铁站总站,草埔地铁站总站、草埔地铁站⑦、独树村、红岗花园、宝安北路口、泥岗村①、银湖汽车站①、华茂苑、北环中学、广中医深圳医院、北环香梅北天桥、侨香村、深云村①、北环桃源天桥、高发科技园、北环龙井天桥、大沙河公园、北环铜鼓天桥、清华信息港、海能达大厦、北环科苑天桥、方鼎华庭、深南北环立交③、宝安万佳、西乡路口①、宝安中心医院①、西乡立交②、宝安文具批发市场、大益广场、西乡盐田大门、圣淘沙、富通城二期、富通城三期、沿江大铲湾口、大铲湾码头、金港大道①、西乡大铲湾总站
M241,西乡立交、宝安中心医院、西乡路口、上川路口、裕安路口、宝安交通运输局②、深南北环立交(关内)16、南头②、南山文体中心、市六医院东、南航公司、桂庙路口、中油大厦、南园村东、城市山林东、东滨路中、荔秀文化街、蛇口沃尔玛、蛇口人民医院、招商发展中心、蛇口网谷、水湾地铁站、招商大厦、蛇口戏院、南山妇幼保健院、蛇口广场,蛇口广场、南山妇幼保健院、蛇口戏院、招商大厦、水湾地铁站、蛇口网谷、招商发展中心、蛇口人民医院、蛇口沃尔玛①、荔秀文化街、东滨路中、城市山林东、南园村东、中油大厦、桂庙路口、南航公司、市六医院东、南山文体中心、南头②、深南北环立交、宝安万佳、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交
M242,燕罗公交总站、翡翠阳光名苑、松岗汽车站、松岗桥底、松岗街道办、松岗天虹商场、松裕立交、蚌岗、潭头路口、芙蓉立交、新桥第三工业区、沙井中心客运站、上寮市场、沙井电子城、新桥南环路口①、凤凰客运站、稔田社区、凤凰油站、福永医院凤凰分院、凤凰天桥、凤凰花苑、福永卫生监督所、福永汽车站、福永家私街、怀德商贸城、怀德翠岗、宝安交警大队、翠湖花园、黄田、钟屋、鹤洲立交、宝安桃源居西、三围路口、劲力集团、固戍村、西成工业区、宝安农批市场、西乡立交③、宝安中心医院、西乡路口、上川路口、裕安路口、宝安交通运输局②、深南北环立交②、南新深南天桥①、南山欢乐颂、桃园南新路口、市六医院、南山区委、桂庙新村、海雅百货、南山邮局、南油大厦、荔秀文化街、东滨路中、城市山林东、城市山林西、南山村、阳光科创公交总站,阳光科创公交总站、南山村北、南园村东、城市山林东、东滨路中、荔秀文化街、南油大厦②、南山邮局、海雅百货、桂庙新村、南山区委、市六医院、桃园南新路口、南山欢乐颂、南新深南天桥①、深南北环立交②、宝安万佳、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交①、宝安农批市场、西成工业区、固戍村、劲力集团、三围路口、宝安桃源居西、钟屋、黄田、翠湖花园、宝安交警大队、怀德翠岗、怀德商贸城、福永家私街、福永汽车站、福永卫生监督所、凤凰花苑、凤凰天桥、福永医院凤凰分院、凤凰油站、稔田社区、凤凰客运站、新桥南环路口②、沙井电子城、上寮市场、上寮、沙井中心客运站①、新桥派出所、新桥第三工业区、芙蓉立交、潭头路口、蚌岗、松裕立交、松岗天虹商场、松岗街道办、星港城购物中心①、松岗汽车站、翡翠阳光名苑、燕罗公交总站
高峰专线43号,公坑廊新能源公交场站、新田居委会、牛轭岭新村、观澜建材市场、南大富、大布新村、观澜汽车站②、岗头村、吉盛酒店、观澜中心小学、龙华中心医院①、观澜二小、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、城市明珠、人民医院龙华分院、龙华天虹商场、金龙华广场、牛地埔、龙华敬老院、龙华村、大浪石观工业区、羊台山、恒安和加油站、水田社区①、长城工业区②、宝燃油站、官田村①、石岩街道办、浪心村委、石岩计生中心、台湾工业区、一电科技①、创维天桥、应人石路口、阳光工业区、白芒村、深职院、九祥岭②、西丽法庭②、西丽社区①、茶光②、松坪学校小学部、宝深路、华瀚科技、科苑北环立交②、科苑北、深南科苑立交北、高科技中心、中兴通讯①、科技园公交总站,科技园公交总站、中兴通讯①、高科技中心、深南科苑立交北、科苑北、科苑北环立交、华瀚科技、宝深路、松坪学校小学部、茶光②、西丽社区①、西丽法庭①、九祥岭②、深职院、白芒村、松白丽康路口、阳光工业区、应人石路口、创维天桥、一电科技①、台湾工业区、石岩计生中心、浪心村委、石岩街道办、官田村①、宝燃油站、长城工业区②、水田社区①、恒安和加油站、羊台山、大浪石观工业区、龙华村、龙华敬老院、牛地埔、金龙华广场、龙华天虹商场、人民医院龙华分院、城市明珠、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、观澜二小、龙华中心医院①、观澜中心小学、吉盛酒店②、岗头村、观澜汽车站、大布新村、南大富、观澜建材市场、牛轭岭新村、新田居委会、公坑廊新能源公交场站
M244,深圳东站交通枢纽公交场站、龙珠花园、木棉湾地铁站①、布吉汽车站、兴晖苑、中海怡翠②、丽湖花园、恒通工业区、秀峰路口、红门、上雪工业区、雪竹径加油站、宝利工业区、天安花园、坂田市场、坂田天虹、利金城工业园、水斗新村、上油松村、牛栏前市场、油松工业区、风和日丽北、龙泉酒店、电信大厦、景华新村、龙华市场、牛地埔、龙华敬老院、龙华村、大浪石观工业区、羊台山、下横朗村、上横朗、恒安和加油站、水田社区、长城工业区①、宝燃油站、官田村、石岩南康百货、龙腾路场站,龙腾路场站、石岩公学西、石岩南康百货、官田村、宝燃油站、长城工业区①、水田社区、恒安和加油站、上横朗、下横朗村、羊台山、大浪石观工业区、龙华村、龙华敬老院、牛地埔、龙华市场、景华新村、电信大厦、风和日丽北、油松工业区、牛栏前市场、上油松村、水斗新村、利金城工业园、坂田天虹、坂田市场、坂田路口（西）、天安花园、宝利工业区、雪竹径加油站、上雪工业区、红门、秀峰路口、恒通工业区、丽湖花园、中海怡翠、兴晖苑、布吉汽车站、木棉湾地铁站①、龙珠花园③、深圳东站交通枢纽公交场站
M245,固戍地铁公交接驳站、南航明珠花园北门、泰华梧桐岛、维尔康食品公司、全一电子、华丰工业区北、华丰工业区、固戍地铁站、联升百货、红宝石、上围园、固南二路口、新发厂、朱坳社康、固戍路口、固戍村、西成工业区、宝安农批市场、西乡立交③、宝安中心医院、西乡路口、泰华锦绣城、开屏花园、流塘旧村、前进天虹商场、诺铂广场、公园路西一巷、灵芝公园北、洪浪北地铁站、宝安灵芝小学、同乐海关、宝安党校、宝安人民医院、教科培训中心、南山供电局、豪方天际总站,豪方天际总站、南山供电局、教科培训中心、宝安人民医院、宝安党校、同乐海关、宝安灵芝小学、洪浪北地铁站、灵芝公园北、公园路西一巷、诺铂广场、文汇中学、前进天虹商场、流塘旧村、流塘市场、流塘小学、西乡街道办、宝安中心医院、西乡立交①、宝安农批市场、西成工业区、固戍路口、朱坳社康、新发厂、固南二路口、上围园、红宝石、联升百货、固戍地铁站、华丰工业区、华丰工业区北、全一电子、维尔康食品公司、泰华梧桐岛、南航明珠花园北门、固戍地铁公交接驳站
M246,南头小关、新乐社区、新安影剧院、宝安人民医院、宝安党校、灵芝园、洪浪北地铁站、新安交警中队、上华村、上合市场、永联学校、前进天虹商场、流塘旧村、流塘市场、流塘小学、西乡街道办、西乡街道办西、港隆城、铁岗路口、宝安农批市场东、臣田工业区、朱坳水厂、平峦山公园、西乡交管所①、宝安桃源居、鹤洲立交、钟屋、黄田、航城街道办、黄田派出所东、金碧工业园、达利花园、西乡后瑞总站,西乡后瑞总站、达利花园、金碧工业园、黄田派出所东、航城街道办、黄田、钟屋、鹤洲立交、宝安桃源居①、西乡交管所①、平峦山公园、朱坳水厂、臣田工业区、宝安农批市场东、铁岗路口、港隆城、西乡街道办西、西乡街道办、流塘小学、流塘市场、流塘旧村、前进天虹商场、永联学校、上合市场、上华村、新安交警中队、洪浪北地铁站、灵芝园、宝安党校、宝安人民医院、新安影剧院、常富楼、南头小关
M247,固戍村总站、固戍南昌第一工业区、华创达科技园南、安乐工业区、全一电子、华丰工业区北、华丰工业区、固戍地铁站、联升百货、红宝石、上围园、恒南路口、新发厂、朱坳社康、固戍路口、固戍村、西成工业区、宝安农批市场、西乡立交②、宝安中心医院、西乡路口、上川路口、裕安路口、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交、宝安农批市场、西成工业区、固戍路口、朱坳社康、新发厂、恒南路口、上围园、红宝石、联升百货、固戍地铁站、华丰工业区、华丰工业区北、全一电子、安乐工业区、华创达科技园南、固戍南昌第一工业区、固戍村总站,，
M248,潭头公交总站、蚌岗、松裕立交、松岗天虹商场、松岗街道办、星港城购物中心①、松岗汽车站、山门居委会、陶园中英文学校、松岗公园东、鹏鼎控股、喜高厂、惠家乐超市、燕川综合市场、惠明盈工业园、罗田市场、罗田第三工业区、通洲工业园、李松蓢公园、下村公园、光明特勤、合水口市场、合水口第三工业区、公明老街、中心商城、公明汽车站西,公明汽车站西、中心商城、公明居委会、公明老街、合水口下田、合水口市场、光明特勤、下村公园、李松蓢公园、通洲工业园、罗田第三工业区、罗田市场、惠明盈工业园、燕川综合市场、惠家乐超市、喜高厂、鹏鼎控股、松岗公园东、陶园中英文学校、山门居委会、松岗汽车站、星港城购物中心、松岗街道办、松岗天虹商场、松裕立交、蚌岗、潭头路口、潭头公交总站
M249,华润城公交总站、北环铜鼓天桥、清华信息港、海能达大厦、北环科苑天桥、方鼎华庭、前进同安路口、南山供电局、教科培训中心、新安公园、灵芝园新村、宝安税务局、灵芝地铁站、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交①、宝安农批市场、西成工业区、固戍村、劲力集团、三围路口、宝安桃源居西、航城大道、航城路口、索佳路口、西乡奋达科技、华胜实验学校、机场邮件处理中心、后瑞地铁站、后瑞村口、金达花园、西乡后瑞总站,西乡后瑞总站、金达花园、达利花园、金碧工业园、黄田派出所东、黄田派出所、机场邮件处理中心、索佳路口、航城路口、航城大道、三围路口、劲力集团、固戍村、西成工业区、宝安农批市场、西乡立交③、宝安中心医院、西乡路口、上川路口、裕安路口、灵芝地铁站、宝安税务局、灵芝园新村、新安公园、教科培训中心、南山供电局、前进同安路口、方鼎华庭、北环科苑天桥、海能达大厦、清华信息港、北环铜鼓天桥、华润城公交总站
M250,长圳总站、长存路口、长圳邮政、长圳路口、玉律村口、玉律五区、玉律旧村、维珍妮、苏氏山水科技园、料坑新村、料坑工业区、宝山园、黄金洞、黄麻布、簕竹角村、康桥书院、九围村委、九围村、富源教育城、西乡富源工业城、恒丰工业城、鹤洲桥底、宝安桃源居、西乡交管所①、平峦山公园、西乡城管办、宝安客运中心、丽景城、富盈门、前进天虹商场、诺铂广场、公园路西一巷、灵芝地铁站、创业天虹南、海滨广场、翻身小学、开屏花园、君逸世家、海韵学校、假日名居、裕安西路公交总站,裕安西路公交总站、假日名居、海韵学校、君逸世家、西乡径贝村、开屏花园、翻身小学、海滨广场、灵芝地铁站、公园路西一巷、诺铂广场、文汇中学、前进天虹商场、富盈门、丽景城、宝安客运中心、西乡城管办、平峦山公园、西乡交管所、宝安桃源居、鹤洲桥底、恒丰工业城、西乡富源工业城、富源教育城、九围村、九围村委、康桥书院、簕竹角村、黄麻布、黄金洞、宝山园、料坑工业区、料坑新村、苏氏山水科技园、维珍妮、玉律旧村、玉律五区、玉律村口、长圳路口、长圳邮政、长存路口、长圳总站
M251,福永家私街总站、福永汽车站、福永桥底、汉永酒店、万福广场、怀德村委、福永交管所、新和、美希美工业园、富桥工业区、福永伟创力、永威五金塑料厂、红发工业区、仲汉电子厂、雅美厂、塘尾十三区、YKK拉链厂、金信化工、塘尾十一区、塘尾派出所、塘尾小学、友利电子厂、凤塘大道东、大洋田工业区、广生医院、凤凰广场、凤凰社区、凤凰台湾街、凤凰山公交综合场站,凤凰山公交综合场站、凤凰台湾街、凤凰社区、凤凰广场、广生医院、大洋田工业区、凤塘大道东、友利电子厂、塘尾小学、塘尾派出所、塘尾十一区、南玻集团、金信化工、YKK拉链厂、塘尾十三区、雅美厂、仲汉电子厂、红发工业区、永威五金塑料厂、福永伟创力、富桥工业区、福永地铁站①、福桥、新和天桥②、福永交管所、怀德村委、万福广场、汉永酒店、福永桥底、福永家私街总站
M252,福永家私街总站、福永汽车站、福永桥底、汉永酒店、福永街道办、福永康之宝、龙翔山庄、福永消防中队、福海工业区、美希美工业园①、福海天桥、乐荣集团、福永鼎丰科技园、晖信工业园、双金惠工业区、华东服装城①、和平市场、华祥科技、高士拉链、西乡蚝业、艾默生工业园、怀德翠海、塘尾富源工业区、雅美厂、塘尾十四区、塘尾村委、塘尾小学、宝安华强城、凤塘大道东、大洋田工业区、广生医院、凤凰广场、凤凰社区、凤凰台湾街、凤凰山公交综合场站,凤凰山公交综合场站、凤凰台湾街、凤凰社区、凤凰广场、广生医院、大洋田工业区、凤塘大道东、宝安华强城、塘尾小学、塘尾村委、塘尾十四区、雅美厂、塘尾富源工业区、怀德翠海、艾默生工业园、西乡蚝业、高士拉链、华祥科技、和平市场、华东服装城、双金惠工业区、晖信工业园、福永鼎丰科技园、乐荣集团、福海天桥、美希美工业园、福永地铁站南、福永消防中队、龙翔山庄、福永康之宝、汉永酒店、福永桥底、福永家私街总站
M253,沙四科技园总站、启航步行街、西沙蚝乡路口、沙井西部客运站、华擎科技、沙一西部工业区、兴英科技北、华丰国际智造城、沙一万安工业区、泽台电子、沙井西部义乌、中国银行沙井支行、东兴花园、沙井人民医院、东塘街路口、沙井京基百纳、沙井金沙市场、茭塘村口、捷和电机、宝兴科技、兼松合利、沙井马安山、新桥万丰工业区、新丰莛、丽沙花都、新桥天虹商场②、新桥市民广场南、华一实验学校、上星村委、新沙桥头、沙井乐安居总站、黄埔工业区、洪田路口、金桥工业区、洪田工业区、宝华厂、庄村二路中、庄村市场、庄村工业区、新玉路口、新玉路庄村公交总站,新玉路庄村公交总站、新玉路口、庄村工业区、庄村市场、庄村二路中、宝华厂、洪田工业区、金桥工业区、洪田路口、台群精机、新桥乐安居、上南派出所、沙井劳动社保站、新桥市民广场南、新桥天虹商场②、丽沙花都、新丰莛、万丰派出所、新桥万丰工业区、沙井马安山、兼松合利、宝兴科技、捷和电机、茭塘村口、沙井金沙市场、沙井京基百纳、沙井人民医院、中国银行沙井支行、沙井西部义乌、泽台电子、沙一万安工业区、华丰国际智造城、万乐锦程路口、蚝二西海岸、华擎科技、西沙蚝乡路口、启航步行街、沙四科技园总站
M254,沙井同富裕工业区、敬业公司、汇百川、才华学校、步涌市场东、步涌工业区、步涌桥、衙边村、辛养村、明珠市场、西荟城广场、壆岗大厦、新桥万家百货、新桥市民广场、新桥天虹商场①、丽沙花都、新丰莛、丽晶酒店、新桥南环路口①、凤凰客运站、稔田社区、凤凰油站、凤城花园、景山花园、中粮凤凰里花苑、福安第二工业城、大洋花园、稔山工业区、福永水厂、立新湖公园、立新湖外国语学校、立新福洲大道路口、乐惠多购物广场、福永地铁站南、白石厦公交总站,白石厦公交总站、立新湖公园、福永水厂、稔山工业区、大洋花园、福安第二工业城、中粮凤凰里花苑、景山花园、凤城花园、广生医院、凤凰油站、稔田社区、凤凰客运站、丽晶酒店、新丰莛、丽沙花都、新桥天虹商场①、新桥市民广场、佳华天桥、壆岗大厦、西荟城广场、明珠市场、辛养村、衙边村、步涌桥、步涌工业区、步涌市场东、步涌市场、汇百川、敬业公司、沙井同富裕工业区
M255,江边第三工业区、创业五路、松岗信隆厂、江边邮局、芭田厂、振泰工业城、江边村委、江边公交总站、沙浦围居委会、沙浦围牌坊、松岗地铁站、沙江东路口、山打根玩具厂、松瑞路口桥、红星花园、松岗第一小学、翡翠市场、松岗文化艺术中心、松岗花果山公园、松岗人民医院、洪桥头、塘下涌立交、乐荣木器玩具厂、联鸿达光电、燕罗同富裕工业园、塘下涌同富裕总站,塘下涌同富裕总站、燕罗同富裕工业园、联鸿达光电、乐荣木器玩具厂、塘下涌立交、洪桥头、松岗人民医院、松岗花果山公园、翡翠市场、松岗第一小学、红星花园、山打根玩具厂、沙江东路口、沙浦围牌坊、沙浦围居委会、江边公交总站、江边村委、振泰工业城、芭田厂、江边邮局、松岗信隆厂、创业五路、江边第三工业区
M256,华美工业园总站、纯水一号科技公司、宏富水果市场、荣健农批、怡景花园、龟山公园南、马山头路口、马山头第三工业区、马山头市场、马田农商行、合水口第三工业区、公明老街、公明居委会、公明天虹②、广雅花园东、国科大医院西院区②、将石、东坑、公明塘尾、万丰工业区、光明大道路口、田寮路口、田寮、光侨立交西、根玉路口、第六工业区、维珍妮、玉律旧村、玉律五区、玉律村口、玉律、红星村、红星居委会,红星居委会、石岩湖路口、玉律村口、玉律五区、玉律旧村、维珍妮、第六工业区、根玉路口、光侨立交西、玉塘派出所、田寮①、田寮路口、光明大道路口、万丰工业区、公明塘尾、东坑、将石、国科大医院西院区②、光明高级中学、环球公司、公明办事处、广雅花园东、公明天虹②、公明居委会、公明老街、合水口下田、马田农商行、马山头市场、马山头第三工业区、马山头路口、龟山公园南、怡景花园、荣健农批、宏富水果市场、纯水一号科技公司、华美工业园总站
M257,料坑场站、佳达百货、料坑新村南门、料坑小学、麻布新村、石岩奋达科技、任达山庄①、石头山工业区、恒冠电子、山城商业街、石岩新村、宏发大世界、河滨花园、石岩街道办、官田星城站、宝燃油站、长城工业区、水田社区①、水田社康中心、建滔化工、水田工业区、石龙仔市场、久裕厂、海尔仓库、祝龙田人才公寓,祝龙田人才公寓、海尔仓库、久裕厂、石龙仔市场、水田工业区、建滔化工、水田社康中心、水田社区①、长城工业区、宝燃油站、官田星城站、石岩街道办、河滨花园、罗租社区、石岩计生中心、山城商业街、恒冠电子、石头山工业区、任达山庄①、石岩奋达科技、料坑小学、料坑新村南门、佳达百货、料坑场站
M258,观澜大水田村总站、菠萝岭路口、大水田社康中心、天堂围路口、铭可达物流园、兴发路口、君子布村口、君子布路口、田心小区、黄背坑路口、君子布市场、观澜邮电局、国升工业区、科展、万松高、鳌湖老村、牛湖农贸市场、石一村小组、深德技校、高尔夫球场、松元公园、观澜汽车站①、岗头村、吉盛酒店、观澜中心小学、龙华中心医院①、银河新村、观澜二小、龙华供电局、宝昌发电厂、福民社康中心、永联厂、精英学校、冼屋村、九龙山花园总站,九龙山花园总站、冼屋村、精英学校、永联厂、福民社康中心、宝昌发电厂、龙华供电局、观澜二小、龙华中心医院②、观澜中心小学、吉盛酒店②、岗头村、观澜汽车站①、松元公园、高尔夫球场、深德技校、石一村小组、牛湖农贸市场、鳌湖老村、万松高、科展、国升工业区、观澜邮电局、君子布市场、黄背坑路口、田心小区、君子布路口、君子布村口、兴发路口、铭可达物流园、牛湖收费站、天堂围路口、大水田社康中心、菠萝岭路口、观澜大水田村总站
M259,固戍地铁公交接驳站、南航明珠花园北门、泰华梧桐岛、维尔康食品公司、全一电子、华丰工业区北、华丰工业区、固戍地铁站、联升购物广场、固戍红湾、华万工业园、银田工业区、西乡客运站、昆仑泌尿外科医院、西乡盐田、同仁妇科医院、西乡步行街、西乡径贝村、流塘旧村、安华工业区、永联学校、上合市场、上华村、新安交警中队、宝安灵芝小学、宝安国检、洪浪居委、宝安中学（东）、新安职业所、安置小区、东方明工业城、大宝北公交总站,大宝北公交场站、东方明工业城、安置小区、新安职业所、宝安海关大厦、宝安灵芝小学、新安交警中队、上华村、上合市场、永联学校、安华工业区、流塘旧村、西乡径贝村、河东、西乡步行街、同仁妇科医院、西乡盐田、昆仑泌尿外科医院、西乡客运站、银田工业区、华万工业园、固戍红湾、联升购物广场、固戍地铁站、华丰工业区、华丰工业区北、全一电子、维尔康食品公司、泰华梧桐岛、南航明珠花园北门、固戍地铁公交接驳站
M260,龙侨华工业园、华丰数码科技园、广田股份、鹏辉达工业园、嘉隆达科技园、大地工业城、百亨电子、劲嘉松岗工业园、致高厂、致高电子厂路口、亚力山卓、标尚学校、惠家乐超市、喜高厂、鹏鼎控股、松岗公园东、松岗教堂、集信名城幼儿园、集信名城、松岗人民医院前门、松岗人民医院、花果山公园、松岗文化艺术中心、松岗桥底、松岗街道办、松岗天虹商场①、松裕立交、松裕立交、东方市场、东方八队工业区、金帝都酒店、松裕路口、世纪东方广场、邯泰鞋业、松岗华美工业园、大田洋公交场站、集美工业园、桃花源松岗分园、深亚加油站、潭头第二工业区、潭头西综合场站,潭头西综合场站、潭头第二工业区、深亚加油站、桃花源松岗分园、集美工业园、大田洋公交场站、松岗华美工业园、邯泰鞋业、世纪东方广场、松裕路口、金帝都酒店、东方八队工业区、东方市场、松岗天虹商场①、松岗街道办、松岗文化艺术中心、松岗花果山、集信名城、集信名城幼儿园、松岗公园东、鹏鼎控股、喜高厂、惠家乐超市、标尚学校②、燕景华庭、致高厂、劲嘉松岗工业园、百亨电子、大地工业城、嘉隆达科技园、鹏辉达工业园、广田股份、燕川北部工业园、龙侨华工业园
M261,云彩幼儿园、合水口市场、马田、中心商城、公明居委会、公明天虹①、广雅花园、红花山公园、光明图书馆西、环球公司、光明高级中学、光明人民医院②、将石、东坑、公明塘尾、万丰工业区、恒海工业园、甲子塘路口、甲子塘村、凤凰办事处、华联百货、甲子塘居委会,甲子塘居委会、华联百货、凤凰办事处、甲子塘村、甲子塘路口、光明大道路口、万丰工业区、公明塘尾、东坑、将石、光明人民医院②、光明高级中学、环球公司、光明图书馆西、红花山公园、广雅花园、公明天虹②、中心商城、三和百货、合水口居委、马田、云彩幼儿园
M262,石岩恩斯迈、拓邦工业园、宏发工业区、塘头社区、塘头又一村、塘头新村、一电科技①、台湾工业区、山城工业区、石岩计生中心、河滨花园、万联商场、石岩街道办、官田村、宝燃油站、长城工业区①、水田社区、恒安和加油站、上横朗、下横朗村、羊台山、大浪石观工业区、龙华村、龙华敬老院、龙观路口、龙胜村、大浪交警中队、上塘路口、风和日丽北、油松工业区、万众城、牛栏前、水尾、东边②、民康路口、横岭二区、横岭、白石龙地铁站、新彩隧道口、中级法院、关山月美术馆①、少年宫、儿童医院、市民中心、深业花园公交总站,深业花园公交总站、市民中心、儿童医院、少年宫、关山月美术馆①、中级法院、新彩隧道口、白石龙地铁站、横岭、横岭二区、民康路口、东边、水尾、牛栏前、万众城、油松工业区、风和日丽北、上塘路口、大浪交警中队、龙胜村、龙观路口、龙华敬老院、龙华村、大浪石观工业区、羊台山、下横朗村、上横朗、恒安和加油站、水田社区、长城工业区①、宝燃油站、官田村、石岩街道办、河滨花园、石岩计生中心、山城工业区、台湾工业区、塘头路口、塘头新村、塘头又一村、塘头社区、恩斯迈、拓邦工业园、石岩恩斯迈
M263,观澜湖公交总站、松元公园、观澜汽车站②、岗头村、吉盛酒店、观澜中心小学、龙华中心医院①、银河新村、观澜二小、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、城市明珠、人民医院龙华分院、狮头岭村委、景乐市场、弓村、金侨花园、东环一路中、集瑞二区、油松派出所、香缇雅苑、油松路口、上油松村、水斗新村、利金城工业园、坂田天虹、五和路口、五和地铁站、四季花城①、光雅园路口、坂田石化新村、南坑村、星光之约、星河WORLD、万家灯火、滢水山庄①、民乐地铁站北公交场站,民乐地铁站北公交场站、滢水山庄①、万家灯火、星河WORLD、星光之约、家和花园、坂田石化新村、光雅园路口、四季花城、五和地铁站、坂田天虹、利金城工业园、水斗新村、上油松村、油松路口、香缇雅苑、油松派出所、集瑞二区、东环一路中、金侨花园、弓村、景乐市场、狮头岭村委、人民医院龙华分院、城市明珠、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、观澜二小、龙华中心医院②、观澜中心小学、吉盛酒店①、岗头村、观澜汽车站①、松元公园、观澜湖公交总站
M264,平湖华南城总站、华润配送中心、华南城、富民工业区、大皇公、富安大道路口、平湖中心小学、平湖派出所、平湖广场西、南园学校、天华路口、杉坑工业区、金穗西路口、顺平路口、辅城坳小学、嘉湖路口、辅城坳天桥、吉坑村口、樟坑径下围村口、樟坑径下围工业园、观澜高新园、大和工业区、美中学校、中航格澜郡、格兰云天酒店、竹村、博文学校、清湖路口、龙华区办事大厅、清湖和平路口、清湖地铁站②、新宝城酒店、大润发、金侨花园、华侨苑、电信大厦、龙泉酒店、丰润居委会、银泉花园、锦绣江南西、大岭社区、上塘农贸市场、龙胜地铁站、尚峻花园公交首末站,尚峻花园公交首末站、西头居委会、上塘农贸市场、大岭社区、锦绣江南西①、银泉花园、丰润居委会、龙泉酒店、电信大厦、华侨苑、金侨花园、山咀头、大润发、新宝城酒店、清湖地铁站②、清湖和平路口、龙华区办事大厅、清湖路口、博文学校、竹村、格兰云天酒店、中航格澜郡、美中学校、大和工业区、观澜高新园、樟坑径下围工业园、樟坑径下围村口、吉坑村口、辅城坳天桥、嘉湖路口、辅城坳小学、顺平路口北、金穗西路口、杉坑工业区、山厦新村、天华路口、南园学校、平湖广场西、平湖派出所、平湖中心小学、富安大道路口、大皇公、富民警务室、富民工业区、华南城、华润配送中心、平湖华南城总站
M265,华南城南公交总站、粮食交易中心、平湖宝能智创谷、华南城交易中心、华南城北门、华南城、澳佳工业园、平湖火车站、平湖派出所、平湖中心小学、富安大道路口、大皇公、鹅公岭社区、倍光工业园、良安田村委、良安田新村、388工业区、明辉工业园、白坭坑牌坊、白泥坑、丹平金鹏物流、丹平人行天桥、丹平社区、丹竹头小学、吉厦街、沙西桥、吉厦村、沙湾汽车站、沙湾天桥、沙湾路口、樟树布社区、南岭村、南湾街道办、百门前工业区、大芬油画村、木棉湾地铁站①、龙珠花园①、龙岗区第二人民医院、布吉中学、布吉西环路口、森鑫源学校、又一村花园、大靓市场、翠枫实验学校、翠枫豪园、翠枫豪园总站,翠枫豪园总站、翠枫豪园、翠枫实验学校、大靓市场、又一村花园、森鑫源学校、布吉西环路口、布吉中学、龙岗区第二人民医院、百合星城北、深圳东站②、龙珠花园、木棉湾地铁站①、大芬油画村、南湾人民医院、南湾街道办、南岭村、樟树布社区、沙湾路口、沙湾天桥、沙湾汽车站②、吉厦村、沙西桥、吉厦街、丹竹头小学、丹平社区、丹平人行天桥、丹平金鹏物流、白泥坑、明辉工业园、388工业区、良安田新村、良安田村委、倍光工业园、鹅公岭社区、大皇公、富安大道路口、平湖中心小学、平湖派出所、平湖火车站、澳佳工业园、富民路口、华南城北门、华南城交易中心、平湖宝能智创谷、粮食交易中心、华南城南公交总站
